product_id,product_name,category,price
1,Clearly,Books,
2,Value,Electronics,381.95
3,Miss,Books,
4,Allow,Sports,296.97
5,Another,Clothing,274.47
6,Single,Electronics,
7,Special,Sports,142.2
8,Impact,Clothing,137.24
9,Force,Home,279.15
10,Friend,Clothing,315.94
11,Professor,Clothing,
12,Into,Electronics,351.71
13,Structure,Electronics,267.02
14,Man,Sports,34.06
15,Dark,Home,173.21
16,Adult,Clothing,73.22
17,Bag,Books,197.68
18,Collection,Home,489.35
19,Know,Books,179.73
20,Method,Home,338.1
21,Budget,Sports,
22,Culture,Books,267.5
23,Structure,Clothing,454.68
24,Often,Electronics,
25,Purpose,Clothing,
26,Will,Sports,247.17
27,Defense,Home,54.51
28,Best,Clothing,31.22
29,Entire,Clothing,135.67
30,Draw,Electronics,331.01
31,Beyond,Sports,43.33
32,Program,Clothing,287.94
33,Blood,Electronics,191.28
34,Financial,Sports,240.4
35,Beautiful,Sports,271.31
36,From,Clothing,405.81
37,Country,Books,94.52
38,Many,Home,311.59
39,Box,Clothing,
40,Minute,Books,379.12
41,Style,Books,240.29
42,Allow,Clothing,120.14
43,Bring,Home,26.68
44,Long,Sports,303.27
45,Important,Home,64.97
46,Part,Electronics,392.93
47,Defense,Clothing,77.14
48,Happy,Clothing,347.98
49,Usually,Clothing,112.33
50,Arrive,Books,70.55
51,Kind,Sports,305.64
52,Trial,Sports,
53,Toward,Clothing,355.84
54,Son,Electronics,
55,Put,Home,105.23
56,Receive,Sports,245.51
57,Tonight,Clothing,343.74
58,Visit,Electronics,38.32
59,Think,Books,311.95
60,Past,Books,
61,Dog,Home,5.36
62,Month,Clothing,478.95
63,Design,Books,212.05
64,Wrong,Clothing,492.18
65,Building,Sports,494.09
66,Charge,Books,497.16
67,Score,Books,12.07
68,Common,Sports,69.49
69,True,Books,156.51
70,Yeah,Books,411.2
71,Girl,Electronics,160.19
72,Stand,Clothing,250.68
73,Ago,Electronics,158.63
74,Dog,Clothing,89.42
75,Call,Electronics,442.07
76,Number,Home,56.5
77,North,Home,408.39
78,Describe,Sports,169.97
79,Newspaper,Electronics,153.76
80,Magazine,Sports,336.61
81,Wait,Home,345.98
82,Manage,Books,241.36
54,Special,Books,469.36
84,Usually,Books,
85,Table,Home,47.77
86,Standard,Sports,166.68
87,News,Books,51.93
88,Name,Home,226.79
89,Everything,Sports,158.42
90,Cold,Home,57.05
91,Right,Clothing,265.18
92,Statement,Sports,52.77
93,Remember,Home,420.66
94,Newspaper,Electronics,231.2
95,Similar,Sports,420.75
96,Financial,Books,
97,Turn,Home,419.34
98,Call,Books,315.92
99,Adult,Clothing,375.54
100,Site,Electronics,318.97
101,Effect,Sports,461.37
102,Increase,Home,384.86
103,Follow,Books,474.85
104,Color,Clothing,175.05
105,Sometimes,Electronics,100.68
106,Pull,Books,113.15
107,Ask,Sports,115.27
108,Decision,Home,
109,Case,Clothing,207.12
110,Behind,Sports,361.43
111,Keep,Electronics,220.34
112,Sign,Sports,36.1
113,Write,Books,259.1
114,Once,Books,252.01
115,Animal,Electronics,247.88
116,Imagine,Sports,
117,Book,Books,90.81
118,Resource,Clothing,473.46
119,Responsibility,Books,288.07
120,Name,Home,192.67
121,With,Clothing,347.53
122,Prevent,Clothing,65.0
123,Deal,Sports,77.67
124,Summer,Books,328.71
125,Born,Home,430.77
126,Learn,Sports,66.83
127,Describe,Sports,296.6
128,Represent,Sports,251.95
129,Push,Sports,318.71
130,Situation,Home,235.33
131,None,Clothing,418.64
132,Life,Books,69.73
133,Country,Books,152.29
134,Imagine,Sports,356.02
135,Half,Clothing,322.16
136,Large,Clothing,152.06
137,Bill,Sports,114.79
138,About,Electronics,204.84
139,He,Sports,40.85
140,Role,Books,161.23
141,Business,Books,450.5
142,Particularly,Electronics,398.43
143,Organization,Clothing,181.1
144,Run,Clothing,334.05
145,Reduce,Sports,478.75
146,Four,Home,484.92
147,Avoid,Sports,128.4
148,Employee,Home,
149,Popular,Clothing,353.95
150,Official,Books,174.32
151,As,Sports,329.22
152,Boy,Electronics,
153,Second,Electronics,115.71
154,Consumer,Home,
155,Result,Sports,105.63
156,Parent,Books,349.39
157,Talk,Clothing,464.61
158,Four,Clothing,122.19
159,Price,Home,227.5
160,Interest,Home,272.99
161,Pattern,Home,198.49
162,Medical,Electronics,193.1
163,Someone,Books,411.39
164,Office,Books,180.09
165,Special,Books,5.27
166,Treat,Clothing,90.57
167,Explain,Books,180.18
168,Treatment,Electronics,358.97
169,Responsibility,Clothing,143.16
170,Other,Clothing,87.39
171,Step,Electronics,439.18
172,Trial,Books,477.41
173,Next,Electronics,417.98
174,Assume,Home,
175,Citizen,Books,278.75
176,Team,Electronics,381.0
177,Foot,Clothing,130.69
178,Onto,Clothing,439.07
179,Might,Sports,336.36
180,Drug,Electronics,261.05
181,Report,Electronics,499.31
182,Bit,Books,339.32
183,Cost,Books,197.73
184,More,Sports,284.41
185,Investment,Electronics,329.64
186,Someone,Clothing,42.8
187,Study,Sports,
188,Since,Clothing,300.05
189,Eight,Clothing,415.45
190,Than,Sports,365.0
191,Heavy,Electronics,212.05
192,Either,Clothing,210.43
193,Indicate,Home,97.76
194,Cup,Electronics,455.12
195,Mission,Books,7.52
196,Minute,Clothing,
197,But,Sports,248.65
198,Skill,Electronics,214.93
199,Claim,Electronics,413.11
200,Week,Sports,37.77
201,Claim,Sports,472.74
202,Young,Electronics,290.92
203,Firm,Home,374.5
204,Piece,Clothing,291.75
205,Me,Books,35.93
206,Nearly,Sports,68.88
207,Forward,Clothing,259.47
74,Later,Home,116.01
209,Various,Home,282.94
210,Fine,Clothing,453.35
211,Subject,Clothing,249.77
212,And,Sports,
213,Finally,Clothing,145.15
214,Brother,Sports,35.75
215,Thing,Sports,156.33
216,Test,Home,250.62
217,Station,Sports,178.17
218,Well,Electronics,362.82
219,Girl,Books,382.3
220,Religious,Clothing,401.17
221,Born,Clothing,202.08
222,Organization,Sports,95.74
223,Over,Books,306.75
224,Religious,Clothing,49.19
225,Player,Electronics,
226,Four,Clothing,243.96
227,Media,Sports,78.72
228,So,Home,379.33
229,Themselves,Sports,25.73
230,Property,Home,25.94
231,Current,Sports,40.78
232,Ever,Books,152.48
233,Friend,Home,195.36
234,Official,Home,381.83
235,Two,Clothing,278.39
236,High,Electronics,122.2
237,Executive,Clothing,283.2
238,Small,Sports,451.51
239,Wide,Home,367.62
240,Word,Electronics,289.37
241,Television,Books,131.35
242,Age,Home,289.58
